"用户ID","情绪状态","天气场景","心理活动","关怀记录","时间"
"1001","偶尔焦虑 | 工作压力大","雨天 | 阴天","思绪繁多、难以入睡","尝试冥想引导、呼吸练习","2025-01"
"1002","情绪平稳 | 偶尔低落","晴天 | 温暖","享受阳光、户外活动","推荐音乐：轻爵士","2025-01"
"1003","敏感细腻 | 易感慨","换季 | 春秋","怀旧、回忆往事","分享：换季心理调适","2025-01"
"1004","热情开朗 | 社交活跃","晴天 | 炎热","活力充沛、户外派对","推荐：消暑活动","2025-01"
"1005","内心细腻 | 善于观察","雪天 | 冬季","安静欣赏、内心平和","分享：初雪许愿活动","2025-01"
"1006","追求完美 | 易紧张","雨天 | 雷暴","焦虑不安、需要安慰","提供：安全感引导","2025-01"
"1007","随和自在 | 享受独处","阴天 | 凉爽","沉静思考、阅读","推荐：室内阅读清单","2025-01"
"1008","充满活力 | 积极向上","晴天 | 温暖","计划出行、社交","推荐：户外活动","2025-01"
"1009","浪漫感性 | 重视情感","雨天 | 夜晚","思念、回忆","分享：雨夜暖心故事","2025-01"
"1010","理性沉稳 | 注重健康","高温 | 夏季","烦躁、体感不适","提供：防暑降温建议","2025-01"
"1001","偶尔焦虑 | 项目截止","雨天 | 连绵","熬夜加班、疲惫","推荐：5分钟正念","2025-02"
"1002","情绪低落 | 失恋","阴天 | 黄昏","独自伤感、失眠","提供：陪伴与倾听","2025-02"
"1003","工作变动 | 迷茫","阴天 | 寒冷","对新环境不适应","分享：适应新环境建议","2025-02"
"1004","生日惊喜 | 幸福","晴天 | 温暖","与朋友庆祝、感恩","送上生日祝福","2025-02"
"1005","考试压力 | 紧张","晴天 | 室内","长时间学习、疲劳","推荐：考试减压技巧","2025-02"
"1006","搬家适应 | 孤独","阴天 | 夜晚","新城市新环境、想家","提供：城市适应指南","2025-02"
"1007","周末放松 | 慵懒","雨天 | 居家","追剧、享受独处","推荐：雨天电影","2025-02"
"1008","旅行出发 | 期待","晴天 | 高原","兴奋、轻微高原反应","提供：高原反应缓解","2025-02"
"1009","深夜失眠 | 思考","晴天 | 深夜","思绪漫游、人生思考","分享：深夜陪伴话术","2025-02"
"1010","身体不适 | 虚弱","阴天 | 闷热","感冒、需要休息","提供：感冒养护建议","2025-02"
"1011","学生 | 考试周","阴天 | 冬季","复习备考、焦虑","推荐：考试前放松","2025-03"
"1012","新婚 | 适应中","晴天 | 温暖","甜蜜、偶尔小吵","分享：夫妻沟通技巧","2025-03"
"1013","上班族 | 加班","雨天 | 夜晚","疲惫、想放弃","提供：工作生活平衡","2025-03"
"1014","有婴儿 | 新手妈妈","晴天 | 温暖","幸福、偶尔手忙脚乱","分享：婴儿睡眠指南","2025-03"
"1015","退休 | 享受生活","雪天 | 冬季","悠闲、培养爱好","推荐：冬季养生活动","2025-03"
"1011","学习倦怠 | 低效","阴天 | 午后","不想学习、拖延","推荐：5分钟启动法","2025-04"
"1012","感情升温 | 甜蜜","晴天 | 夜晚","约会、珍惜当下","分享：感情保鲜建议","2025-04"
"1013","职场晋升 | 紧张","阴天 | 上午","准备面试、担心","提供：面试减压技巧","2025-04"
"1014","宝宝生病 | 担忧","雨天 | 深夜","熬夜照顾、心疼","提供：婴儿护理建议","2025-04"
"1015","朋友聚会 | 开心","晴天 | 周末","享受友情、畅谈","送上祝福","2025-04"
"1001","节后综合症 | 倦怠","阴天 | 工作日","不想上班、疲惫","推荐：节后调整指南","2025-05"
"1002","单身 | 情人节","阴天 | 夜晚","略感孤单","提供：自我关怀建议","2025-05"
"1003","换工作 | 新开始","晴天 | 温暖","兴奋与紧张并存","分享：职场新人建议","2025-05"
"1004","跑步坚持 | 成就感","晴天 | 清晨","自律、精力充沛","送上鼓励","2025-05"
"1005","亲人来访 | 幸福","阴天 | 周末","团圆、温暖","分享：家庭相处之道","2025-05"
